T, Z1, Z2, Y1, Y2, U1, U2, X1, X2, 
0, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -1.000000e-001, -1.000000e-001, -1.000000e-001, -1.000000e-001, 
1, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -1.682079e-001, -1.965021e-001, -1.682079e-001, -1.965021e-001, 
2, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -2.324257e-001, -2.733382e-001, -2.324257e-001, -2.733382e-001, 
3, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -2.981834e-001, -3.545841e-001, -2.981834e-001, -3.545841e-001, 
4, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -3.634290e-001, -4.348245e-001, -3.634290e-001, -4.348245e-001, 
5, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -4.288330e-001, -5.152983e-001, -4.288330e-001, -5.152983e-001, 
6, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -4.941901e-001, -5.957170e-001, -4.941901e-001, -5.957170e-001, 
7, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -5.595607e-001, -6.761488e-001, -5.595607e-001, -6.761488e-001, 
8, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -6.249275e-001, -7.565775e-001, -6.249275e-001, -7.565775e-001, 
9, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -6.902953e-001, -8.370070e-001, -6.902953e-001, -8.370070e-001, 
10, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -7.556629e-001, -9.174362e-001, -7.556629e-001, -9.174362e-001, 
11, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -8.210306e-001, -9.978656e-001, -8.210306e-001, -9.978656e-001, 
12, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -8.863981e-001, -1.078295e+000, -8.863981e-001, -1.078295e+000, 
13, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -9.517657e-001, -1.158724e+000, -9.517657e-001, -1.158724e+000, 
14, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -1.017133e+000, -1.239154e+000, -1.017133e+000, -1.239154e+000, 
15, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -1.082501e+000, -1.319583e+000, -1.082501e+000, -1.319583e+000, 
16, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -1.147869e+000, -1.400012e+000, -1.147869e+000, -1.400012e+000, 
17, 0.000000e+000, 0.000000e+000, 2.100000e-001, 2.200000e-001, -1.213236e+000, -1.480441e+000, -1.213236e+000, -1.480441e+000, 
